GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sesion05Junit,ual.hmis.sesion05,Ejercicio5,1,118,6,24,0,24,6,11,0,2
sesion05Junit,ual.hmis.sesion05,Ejercicio4,0,95,0,8,0,17,0,7,0,3
sesion05Junit,ual.hmis.sesion05,Ejercicio3,0,23,0,6,0,9,0,5,0,2
sesion05Junit,ual.hmis.sesion05,Ejercicio2,0,38,1,11,0,9,1,8,0,3
sesion05Junit,ual.hmis.sesion05,Ejercicio1,0,42,0,6,0,10,0,5,0,2
